extra_ordinance,regulus_mtgj2024,eyeballs,artifact,sokoblox_game,kobo,reentry,stellua,1042,porko,etb,robot_escape,wis_side_b,
1,2,1,8,10,1,8,4,11,10,11,8,4,
2,1,10,4,9,2,9,12,4,12,10,7,13,
1,7,2,5,11,3,2,10,12,11,12,4,12,
3,3,5,3,3,5,8,3,11,10,11,6,11,
1,8,13,7,10,3,9,6,6,7,12,12,13,
13,2,2,6,5,7,7,6,3,8,13,6,11,
1,3,4,2,7,8,12,8,6,6,,13,12,
1,8,3,5,9,3,12,6,4,7,6,9,12,
1,2,2,3,5,4,7,5,5,12,7,5,13,
1,2,3,8,3,2,7,10,9,10,5,10,13,
1,5,4,6,7,8,8,9,8,6,10,7,10,
1,4,3,6,3,5,,3,11,10,11,2,5,
1,3,3,9,1,2,9,4,3,7,11,3,5,
1,2,1,6,11,4,2,8,5,6,13,13,12,
1,1,4,5,11,12,5,1,10,2,3,,8,
1,,4,3,1,5,13,9,4,,12,3,11,
1,3,1,4,5,3,10,7,1,12,12,8,13,
3,4,2,4,5,8,7,5,6,6,12,10,10,
2,4,6,1,2,3,8,9,5,10,5,12,13,
8,10,3,2,4,5,9,10,10,11,2,8,12,
9,3,10,5,2,11,10,,9,7,9,12,13,
1,5,,3,10,9,3,8,7,8,13,7,12,
1,4,4,5,11,1,5,7,11,11,11,8,9,
1,2,2,4,10,5,10,6,12,8,7,10,8,
2,5,10,9,6,5,6,9,12,12,8,11,9,
2,2,9,2,2,9,11,10,10,6,11,9,13,
13,3,5,5,5,6,5,10,13,9,12,12,12,
2,8,7,8,7,13,2,11,9,5,9,13,13,
,6,9,8,7,8,5,11,9,8,10,11,12,
1,4,9,7,2,6,5,4,12,6,12,13,13,
1,9,5,4,1,8,4,9,10,8,10,8,6,
1,3,1,6,3,,8,6,11,6,9,11,9,
1,13,6,8,4,4,8,10,1,9,12,6,13,
5,1,7,3,8,9,5,8,4,6,8,3,13,
1,2,3,12,3,12,7,10,13,12,9,5,11,
12,4,2,4,11,8,10,8,7,13,9,10,13,
1,10,5,4,9,4,11,11,,10,6,11,13,
3,7,2,6,7,4,4,9,8,7,9,13,12,
1,2,6,2,2,11,6,11,10,3,10,9,11,
11,5,4,6,7,13,6,13,6,6,12,4,13,
1,7,2,4,11,5,4,11,6,11,12,11,11,
1,2,2,9,4,5,4,10,7,11,12,13,3,
1,3,1,5,7,13,4,12,12,9,12,2,13,
3,7,6,4,4,7,7,10,10,6,9,10,5,
1,3,2,6,3,4,12,7,11,7,7,7,13,
3,4,1,7,8,7,6,9,12,9,10,11,12,
1,2,2,6,11,3,8,7,12,8,11,12,13,
2,4,9,2,6,7,9,10,7,8,3,12,6,
1,1,2,4,7,8,10,8,11,9,7,11,5
